"","SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"1","2014-15",20141028,"LAL",90,25,69,3,10,31,39,11,25,16,7,11,3,32,"HOU",108,19,44,12,29,34,50,14,33,22,7,13,3,30
"2","2014-15",20141028,"NOP",101,37,84,4,17,15,31,26,36,20,10,9,17,17,"ORL",84,28,73,4,11,16,21,16,40,17,5,18,9,25
"3","2014-15",20141028,"SAS",101,23,42,14,28,13,16,9,29,23,5,20,3,20,"DAL",100,30,57,8,21,16,19,9,24,17,9,10,3,20
"4","2014-15",20141029,"BOS",121,41,66,8,22,15,23,9,26,28,11,12,5,25,"BKN",105,32,61,7,19,20,26,9,30,20,6,20,7,21
"5","2014-15",20141029,"CHA",108,35,80,6,21,20,29,15,35,27,8,10,9,20,"MIL",106,32,66,7,14,21,24,3,32,25,9,14,10,25
"6","2014-15",20141029,"DEN",89,24,61,6,24,23,31,14,37,17,7,15,4,21,"DET",79,25,58,6,26,11,19,8,37,15,4,15,5,27
"7","2014-15",20141029,"IND",103,30,56,8,25,19,28,14,36,22,5,17,13,24,"PHI",91,28,68,6,21,17,30,15,27,17,10,11,5,29
"8","2014-15",20141029,"MEM",105,39,67,4,15,15,20,10,23,21,10,17,5,21,"MIN",101,33,74,6,12,17,23,19,28,20,8,23,4,21
"9","2014-15",20141029,"MIA",107,30,53,9,28,20,23,12,32,20,9,14,3,17,"WAS",95,30,56,6,19,17,24,7,29,20,7,14,2,20
"10","2014-15",20141029,"NYK",80,28,68,3,17,15,17,14,24,19,9,11,5,22,"CHI",104,29,47,7,24,25,30,10,37,21,9,15,4,18
"11","2014-15",20141029,"PHX",119,29,50,16,32,13,18,9,31,23,5,14,3,25,"LAL",99,33,73,4,13,21,25,12,26,20,9,13,3,18
"12","2014-15",20141029,"POR",106,28,58,11,29,17,22,13,29,23,4,10,9,19,"OKC",89,31,65,2,16,21,26,14,29,19,9,13,5,28
"13","2014-15",20141029,"SAC",77,21,60,3,18,26,35,15,35,13,11,26,3,26,"GSW",95,27,48,6,27,23,32,7,37,21,12,22,8,32
"14","2014-15",20141029,"TOR",109,29,64,8,26,27,33,16,32,26,13,9,9,22,"ATL",102,27,58,13,22,9,17,10,32,26,6,17,8,24
"15","2014-15",20141029,"UTA",93,35,63,3,18,14,17,13,21,16,8,13,6,16,"HOU",104,26,50,14,27,10,14,8,27,18,7,18,6,23
"16","2014-15",20141030,"CLE",90,23,46,9,24,17,20,11,22,22,5,19,2,15,"NYK",95,31,57,6,12,15,18,9,26,30,9,15,1,26
"17","2014-15",20141030,"DAL",120,39,64,8,21,18,23,13,31,25,8,9,5,15,"UTA",102,22,48,14,35,16,18,15,25,22,6,16,0,21
"18","2014-15",20141030,"LAC",93,27,57,7,30,18,25,14,19,17,10,11,4,27,"OKC",90,22,44,6,21,28,34,8,39,23,5,22,2,27
"19","2014-15",20141030,"MIN",97,33,66,4,10,19,28,10,33,18,8,12,3,21,"DET",91,31,70,7,21,8,13,14,32,20,3,12,5,24
"20","2014-15",20141030,"ORL",98,31,57,6,15,18,24,3,30,20,4,18,1,23,"WAS",105,32,67,7,13,20,26,6,31,22,10,12,0,25
"21","2014-15",20141031,"CHI",108,28,59,13,31,13,17,11,31,25,4,19,14,28,"CLE",114,38,89,3,15,29,33,20,32,18,8,9,4,18
"22","2014-15",20141031,"IND",89,26,53,8,21,13,16,11,35,19,5,18,3,15,"MEM",97,28,60,7,19,20,27,11,29,20,11,9,2,21
"23","2014-15",20141031,"LAL",111,35,62,7,20,20,28,9,31,24,5,14,2,35,"LAC",118,22,38,12,33,38,44,6,30,25,6,14,2,26
"24","2014-15",20141031,"MIL",93,27,64,9,24,12,21,15,40,25,10,18,11,19,"PHI",81,27,63,5,23,12,22,12,30,20,9,16,5,18
"25","2014-15",20141031,"PHX",94,33,69,2,18,22,26,12,38,15,2,7,5,21,"SAS",89,24,53,8,25,17,23,5,40,20,3,12,3,25
"26","2014-15",20141031,"SAC",103,30,71,4,10,31,35,14,35,14,6,10,2,24,"POR",94,25,57,9,26,17,19,10,28,20,5,10,8,26
"27","2014-15",20141101,"ATL",102,28,49,7,20,25,33,3,34,26,10,12,6,20,"IND",92,19,49,12,32,18,21,11,33,25,5,18,5,26
"28","2014-15",20141101,"CHA",69,22,58,4,14,13,18,5,39,17,10,20,4,16,"MEM",71,26,69,3,11,10,13,9,36,16,8,18,0,22
"29","2014-15",20141101,"DET",90,31,59,1,17,25,35,10,31,21,3,7,3,15,"BKN",102,35,61,7,26,11,13,12,36,18,3,8,3,23
"30","2014-15",20141101,"GSW",127,35,60,11,23,24,28,12,31,30,10,20,4,26,"LAL",104,37,74,4,14,18,25,17,20,21,9,22,3,27
"31","2014-15",20141101,"HOU",104,20,42,12,34,28,40,10,39,20,9,17,8,24,"BOS",90,36,73,1,25,15,18,14,30,20,10,10,8,26
"32","2014-15",20141101,"MIN",105,34,73,4,12,25,31,13,29,26,9,10,4,29,"CHI",106,24,46,9,23,31,40,5,33,15,3,14,8,24
"33","2014-15",20141101,"NOP",104,31,70,7,19,21,28,14,33,24,8,13,4,19,"DAL",109,40,64,6,25,11,19,11,33,25,4,12,6,25
"34","2014-15",20141101,"OKC",102,31,60,6,20,22,31,6,35,24,8,13,6,20,"DEN",91,28,54,7,26,14,20,11,30,19,4,17,10,26
"35","2014-15",20141101,"ORL",95,31,61,7,20,12,24,9,31,25,3,14,7,37,"TOR",108,29,62,4,21,38,48,15,35,13,4,7,4,21
"36","2014-15",20141101,"PHI",96,28,44,7,23,19,26,4,33,28,9,24,10,21,"MIA",114,29,59,12,24,20,29,9,26,33,16,16,0,20
"37","2014-15",20141101,"UTA",118,35,62,7,26,27,33,13,39,19,10,13,6,15,"PHX",91,29,56,7,31,12,15,6,28,17,8,11,7,22
"38","2014-15",20141101,"WAS",108,36,60,4,13,24,33,6,28,28,18,19,5,21,"MIL",97,25,58,9,22,20,24,16,26,18,11,27,3,28
"39","2014-15",20141102,"LAC",92,24,57,9,31,17,21,11,24,23,10,8,7,25,"SAC",98,31,58,3,10,27,33,9,37,21,4,19,11,22
"40","2014-15",20141102,"MIA",107,26,46,9,24,28,38,11,32,22,6,16,6,29,"TOR",102,33,63,4,16,24,39,9,19,11,8,10,5,28
"41","2014-15",20141102,"NYK",96,31,62,8,16,10,17,8,27,23,5,12,0,26,"CHA",93,27,55,6,15,21,29,8,30,20,7,12,2,16
"42","2014-15",20141102,"POR",90,30,65,7,27,9,14,17,39,20,9,19,2,19,"GSW",95,30,62,6,19,17,21,7,34,22,11,17,7,16
"43","2014-15",20141103,"BKN",116,33,61,11,23,17,19,9,33,25,11,8,3,21,"OKC",85,24,59,8,23,13,21,15,29,14,3,17,3,17
"44","2014-15",20141103,"DAL",118,30,57,14,25,16,20,7,29,24,5,17,9,17,"BOS",113,34,71,11,31,12,16,22,27,29,9,17,6,21
"45","2014-15",20141103,"DEN",105,31,69,5,24,28,33,15,27,22,4,15,7,35,"SAC",110,32,72,2,9,40,47,14,36,21,8,15,5,28
"46","2014-15",20141103,"LAC",107,31,58,10,23,15,17,5,30,28,6,10,6,17,"UTA",101,26,50,10,27,19,24,9,34,24,4,17,2,20
"47","2014-15",20141103,"MEM",93,27,62,4,14,27,37,9,43,19,5,11,6,24,"NOP",81,25,62,4,24,19,29,14,35,14,5,12,3,30
"48","2014-15",20141103,"PHI",93,22,52,11,22,16,23,6,25,19,12,17,4,20,"HOU",104,16,41,16,34,24,30,13,34,27,12,21,6,20
"49","2014-15",20141104,"CHI",98,28,60,7,15,21,27,10,34,23,6,12,9,18,"ORL",90,32,74,6,14,8,14,14,34,21,6,11,6,22
"50","2014-15",20141104,"IND",81,25,54,6,24,13,22,15,32,14,4,17,9,17,"MIL",87,30,62,7,21,6,7,9,30,20,12,12,5,22
"51","2014-15",20141104,"LAL",106,29,72,6,16,30,41,18,31,16,7,12,8,25,"PHX",112,35,73,6,18,24,31,13,39,28,6,13,7,29
"52","2014-15",20141104,"MIA",91,19,46,12,28,17,27,13,21,16,7,15,2,21,"HOU",108,18,31,17,37,21,27,9,29,22,8,16,5,26
"53","2014-15",20141104,"NOP",100,33,63,5,18,19,19,11,36,26,5,12,6,19,"CHA",91,31,59,6,21,11,13,6,28,23,6,12,1,15
"54","2014-15",20141104,"NYK",83,22,66,8,15,15,19,15,28,16,5,18,4,23,"WAS",98,31,62,8,18,12,19,10,31,26,8,12,4,25
"55","2014-15",20141104,"POR",101,29,50,8,25,19,25,9,39,21,7,11,4,20,"CLE",82,22,64,9,21,11,14,13,28,18,5,14,3,19
"56","2014-15",20141104,"TOR",100,24,50,8,31,28,33,12,27,23,6,10,3,24,"OKC",88,28,44,6,21,14,25,6,35,23,4,19,3,27
"57","2014-15",20141105,"BOS",107,30,52,10,26,17,18,17,38,22,5,27,3,25,"TOR",110,35,71,7,16,19,23,6,18,18,11,7,4,18
"58","2014-15",20141105,"BKN",91,28,61,8,21,11,17,7,35,17,6,18,5,22,"MIN",98,30,73,7,17,17,22,13,38,22,9,11,4,21
"59","2014-15",20141105,"CHA",96,30,64,5,18,21,29,13,36,23,4,12,9,24,"MIA",89,26,55,4,22,25,31,6,30,19,6,8,4,25
"60","2014-15",20141105,"DET",98,21,64,11,23,23,33,19,36,17,5,8,4,16,"NYK",95,30,70,9,20,8,10,11,32,25,3,9,9,23
"61","2014-15",20141105,"GSW",121,28,49,15,25,20,20,4,35,29,7,23,3,22,"LAC",104,31,63,7,19,21,27,5,25,26,12,14,2,14
"62","2014-15",20141105,"MIL",86,30,74,3,15,17,20,18,32,19,10,14,3,28,"CHI",95,29,57,5,16,22,30,7,35,24,8,16,3,18
"63","2014-15",20141105,"PHI",89,25,52,8,25,15,23,6,32,22,12,20,12,18,"ORL",91,36,68,3,20,10,12,14,37,14,11,24,3,20
"64","2014-15",20141105,"PHX",91,24,48,8,21,19,21,5,30,13,11,18,4,20,"MEM",102,31,63,9,17,13,17,8,29,25,10,16,1,21
"65","2014-15",20141105,"SAC",131,34,56,8,20,39,50,9,31,21,8,13,3,30,"DEN",109,28,54,9,28,26,31,7,25,24,4,14,5,37
"66","2014-15",20141105,"SAS",94,26,52,5,17,27,38,11,39,25,7,19,9,15,"ATL",92,30,67,8,25,8,11,10,27,26,14,13,5,25
"67","2014-15",20141105,"UTA",102,32,56,7,21,17,22,13,28,26,3,12,8,26,"CLE",100,24,56,6,16,34,40,7,23,6,8,12,4,22
"68","2014-15",20141105,"WAS",96,27,74,7,17,21,23,7,36,24,7,12,7,22,"IND",94,27,63,8,27,16,20,14,43,22,3,18,9,27
"69","2014-15",20141106,"HOU",98,24,45,10,27,20,33,8,36,18,7,21,6,20,"SAS",81,29,70,2,20,17,19,12,29,17,12,14,1,24
"70","2014-15",20141106,"POR",108,28,47,12,30,16,19,12,41,25,3,17,6,21,"DAL",87,28,67,5,23,16,16,8,26,14,6,7,4,17
