"","HPTS","H2PM","H3PM","HFTM","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","HL5","HALL","APTS","A2PM","A3PM","AFTM","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","AL5","AALL","W","DIFF"
"2",90,0.36231884057971,0.3,0.794871794871795,11,25,16,7,11,3,32,0,0,108,0.431818181818182,0.413793103448276,0.68,14,33,22,7,13,3,30,0,0,"A",-18
"3",101,0.44047619047619,0.235294117647059,0.483870967741935,26,36,20,10,9,17,17,0,0,84,0.383561643835616,0.363636363636364,0.761904761904762,16,40,17,5,18,9,25,0,0,"H",17
"4",101,0.547619047619048,0.5,0.8125,9,29,23,5,20,3,20,0,0,100,0.526315789473684,0.380952380952381,0.842105263157895,9,24,17,9,10,3,20,0,0,"H",1
"5",121,0.621212121212121,0.363636363636364,0.652173913043478,9,26,28,11,12,5,25,0,0,105,0.524590163934426,0.368421052631579,0.769230769230769,9,30,20,6,20,7,21,0,0,"H",16
"6",108,0.4375,0.285714285714286,0.689655172413793,15,35,27,8,10,9,20,0,0,106,0.484848484848485,0.5,0.875,3,32,25,9,14,10,25,0,0,"H",2
"7",89,0.39344262295082,0.25,0.741935483870968,14,37,17,7,15,4,21,0,0,79,0.431034482758621,0.230769230769231,0.578947368421053,8,37,15,4,15,5,27,0,0,"H",10
"8",103,0.535714285714286,0.32,0.678571428571429,14,36,22,5,17,13,24,0,0,91,0.411764705882353,0.285714285714286,0.566666666666667,15,27,17,10,11,5,29,0,0,"H",12
"9",105,0.582089552238806,0.266666666666667,0.75,10,23,21,10,17,5,21,0,0,101,0.445945945945946,0.5,0.739130434782609,19,28,20,8,23,4,21,0,0,"H",4
"10",107,0.566037735849057,0.321428571428571,0.869565217391304,12,32,20,9,14,3,17,0,0,95,0.535714285714286,0.315789473684211,0.708333333333333,7,29,20,7,14,2,20,0,0,"H",12
"11",80,0.411764705882353,0.176470588235294,0.882352941176471,14,24,19,9,11,5,22,0,0,104,0.617021276595745,0.291666666666667,0.833333333333333,10,37,21,9,15,4,18,0,0,"A",-24
"12",119,0.58,0.5,0.722222222222222,9,31,23,5,14,3,25,0,0,90,0.36231884057971,0.3,0.794871794871795,11,25,16,7,11,3,32,0,0,"H",20
"13",106,0.482758620689655,0.379310344827586,0.772727272727273,13,29,23,4,10,9,19,0,0,89,0.476923076923077,0.125,0.807692307692308,14,29,19,9,13,5,28,0,0,"H",17
"14",77,0.35,0.166666666666667,0.742857142857143,15,35,13,11,26,3,26,0,0,95,0.5625,0.222222222222222,0.71875,7,37,21,12,22,8,32,0,0,"A",-18
"15",109,0.453125,0.307692307692308,0.818181818181818,16,32,26,13,9,9,22,0,0,102,0.46551724137931,0.590909090909091,0.529411764705882,10,32,26,6,17,8,24,0,0,"H",7
"16",93,0.555555555555556,0.166666666666667,0.823529411764706,13,21,16,8,13,6,16,0,0,108,0.431818181818182,0.413793103448276,0.68,14,33,22,7,13,3,30,0,0,"A",-11
"17",90,0.5,0.375,0.85,11,22,22,5,19,2,15,0,0,80,0.411764705882353,0.176470588235294,0.882352941176471,14,24,19,9,11,5,22,0,0,"A",-5
"18",100,0.526315789473684,0.380952380952381,0.842105263157895,9,24,17,9,10,3,20,0,0,93,0.555555555555556,0.166666666666667,0.823529411764706,13,21,16,8,13,6,16,0,0,"H",18
"19",93,0.473684210526316,0.233333333333333,0.72,14,19,17,10,11,4,27,0,0,89,0.476923076923077,0.125,0.807692307692308,14,29,19,9,13,5,28,0,0,"H",3
"20",101,0.445945945945946,0.5,0.739130434782609,19,28,20,8,23,4,21,0,0,79,0.431034482758621,0.230769230769231,0.578947368421053,8,37,15,4,15,5,27,0,0,"H",6
"21",84,0.383561643835616,0.363636363636364,0.761904761904762,16,40,17,5,18,9,25,0,0,95,0.535714285714286,0.315789473684211,0.708333333333333,7,29,20,7,14,2,20,0,0,"A",-7
"22",104,0.617021276595745,0.291666666666667,0.833333333333333,10,37,21,9,15,4,18,0,0,90,0.5,0.375,0.85,11,22,22,5,19,2,15,0,0,"A",-6
"23",103,0.535714285714286,0.32,0.678571428571429,14,36,22,5,17,13,24,0,0,105,0.582089552238806,0.266666666666667,0.75,10,23,21,10,17,5,21,0,0,"A",-8
"24",45,0.181159420289855,0.15,0.397435897435897,5.5,12.5,8,3.5,5.5,1.5,16,0,-1,93,0.473684210526316,0.233333333333333,0.72,14,19,17,10,11,4,27,0,0,"A",-7
"25",106,0.484848484848485,0.5,0.875,3,32,25,9,14,10,25,0,0,91,0.411764705882353,0.285714285714286,0.566666666666667,15,27,17,10,11,5,29,0,0,"H",12
"26",119,0.58,0.5,0.722222222222222,9,31,23,5,14,3,25,0,0,101,0.547619047619048,0.5,0.8125,9,29,23,5,20,3,20,0,0,"H",5
"27",77,0.35,0.166666666666667,0.742857142857143,15,35,13,11,26,3,26,0,0,106,0.482758620689655,0.379310344827586,0.772727272727273,13,29,23,4,10,9,19,0,0,"H",9
"28",102,0.46551724137931,0.590909090909091,0.529411764705882,10,32,26,6,17,8,24,0,0,51.5,0.267857142857143,0.16,0.339285714285714,7,18,11,2.5,8.5,6.5,12,0,-1,"H",10
"29",108,0.4375,0.285714285714286,0.689655172413793,15,35,27,8,10,9,20,0,0,52.5,0.291044776119403,0.133333333333333,0.375,5,11.5,10.5,5,8.5,2.5,10.5,1,1,"A",-2
"30",39.5,0.21551724137931,0.115384615384615,0.289473684210526,4,18.5,7.5,2,7.5,2.5,13.5,0,-1,105,0.524590163934426,0.368421052631579,0.769230769230769,9,30,20,6,20,7,21,0,0,"A",-12
"31",95,0.5625,0.222222222222222,0.71875,7,37,21,12,22,8,32,0,0,67,0.308944989870656,0.216666666666667,0.503052503052503,6.66666666666667,18.6666666666667,13.3333333333333,4,8.33333333333333,1.66666666666667,22.3333333333333,0,-2,"H",23
"32",54,0.215909090909091,0.206896551724138,0.34,7,16.5,11,3.5,6.5,1.5,15,1,1,121,0.621212121212121,0.363636363636364,0.652173913043478,9,26,28,11,12,5,25,0,0,"H",14
"33",50.5,0.222972972972973,0.25,0.369565217391304,9.5,14,10,4,11.5,2,10.5,0,-1,52,0.308510638297872,0.145833333333333,0.416666666666667,5,18.5,10.5,4.5,7.5,2,9,1,1,"A",-1
"34",101,0.44047619047619,0.235294117647059,0.483870967741935,26,36,20,10,9,17,17,0,0,50,0.263157894736842,0.19047619047619,0.421052631578947,4.5,12,8.5,4.5,5,1.5,10,1,1,"A",-5
"35",44.5,0.238461538461538,0.0625,0.403846153846154,7,14.5,9.5,4.5,6.5,2.5,14,1,1,89,0.39344262295082,0.25,0.741935483870968,14,37,17,7,15,4,21,0,0,"H",11
"36",42,0.191780821917808,0.181818181818182,0.380952380952381,8,20,8.5,2.5,9,4.5,12.5,0,-1,109,0.453125,0.307692307692308,0.818181818181818,16,32,26,13,9,9,22,0,0,"A",-13
"37",45.5,0.205882352941176,0.142857142857143,0.283333333333333,7.5,13.5,8.5,5,5.5,2.5,14.5,0,-1,107,0.566037735849057,0.321428571428571,0.869565217391304,12,32,20,9,14,3,17,0,0,"A",-18
"38",46.5,0.277777777777778,0.0833333333333333,0.411764705882353,6.5,10.5,8,4,6.5,3,8,1,1,59.5,0.29,0.25,0.361111111111111,4.5,15.5,11.5,2.5,7,1.5,12.5,0,-1,"H",27
"39",47.5,0.267857142857143,0.157894736842105,0.354166666666667,3.5,14.5,10,3.5,7,1,10,1,1,53,0.242424242424242,0.25,0.4375,1.5,16,12.5,4.5,7,5,12.5,0,-1,"H",11
"40",46.5,0.236842105263158,0.116666666666667,0.36,7,9.5,8.5,5,5.5,2,13.5,0,-1,38.5,0.175,0.0833333333333333,0.371428571428571,7.5,17.5,6.5,5.5,13,1.5,13,1,1,"A",-6
"41",53.5,0.283018867924528,0.160714285714286,0.434782608695652,6,16,10,4.5,7,1.5,8.5,1,1,54.5,0.2265625,0.153846153846154,0.409090909090909,8,16,13,6.5,4.5,4.5,11,0,-1,"H",5
"42",40,0.205882352941176,0.0882352941176471,0.441176470588235,7,12,9.5,4.5,5.5,2.5,11,1,1,54,0.21875,0.142857142857143,0.344827586206897,7.5,17.5,13.5,4,5,4.5,10,0,-1,"H",3
"43",53,0.241379310344828,0.189655172413793,0.386363636363636,6.5,14.5,11.5,2,5,4.5,9.5,0,-1,47.5,0.28125,0.111111111111111,0.359375,3.5,18.5,10.5,6,11,4,16,1,1,"A",-5
"44",52.5,0.262295081967213,0.184210526315789,0.384615384615385,4.5,15,10,3,10,3.5,10.5,1,1,63.6666666666667,0.331196581196581,0.141666666666667,0.505789909015716,6.66666666666667,21.3333333333333,14.3333333333333,5.66666666666667,8.66666666666667,3.66666666666667,16,0,0,"H",31
"45",69.6666666666667,0.383771929824561,0.206984126984127,0.473684210526316,6.66666666666667,19,14,4.33333333333333,7.33333333333333,3,15,2,2,60.5,0.310606060606061,0.181818181818182,0.326086956521739,4.5,13,14,5.5,6,2.5,12.5,0,-1,"H",5
"46",44.5,0.19672131147541,0.125,0.370967741935484,7,18.5,8.5,3.5,7.5,2,10.5,0,-1,58.3333333333333,0.294827586206897,0.155555555555556,0.52034632034632,8,24,11.3333333333333,5,15,4.66666666666667,16,2,2,"A",-5
"47",61.6666666666667,0.298245614035088,0.174551971326165,0.50984126984127,8.33333333333333,14.3333333333333,13.3333333333333,6.66666666666667,6.33333333333333,3.66666666666667,17.3333333333333,1,0,70.3333333333333,0.373357228195938,0.145299145299145,0.547237076648841,8.66666666666667,20,11.6666666666667,6,8.66666666666667,4,10.3333333333333,0,0,"H",6
"48",58.6666666666667,0.319633715480568,0.17979797979798,0.506410256410256,6.33333333333333,19.6666666666667,12.3333333333333,6,11.6666666666667,1.66666666666667,14.3333333333333,2,2,50.5,0.220238095238095,0.117647058823529,0.241935483870968,13,18,10,5,4.5,8.5,8.5,0,-1,"H",12
"49",62.3333333333333,0.349376114081996,0.196687370600414,0.432478632478632,6.33333333333333,20,15,6.33333333333333,11.6666666666667,5,16.6666666666667,0,-2,70.6666666666667,0.302669552669553,0.255578093306288,0.46,8,24,14,5.33333333333333,10,3.66666666666667,18,1,2,"A",-11
"50",70,0.379586802343509,0.227657004830918,0.536111111111111,5,23.3333333333333,12,4,9.66666666666667,4,14,2,2,59.6666666666667,0.297252788382364,0.237878787878788,0.420634920634921,8.33333333333333,23.6666666666667,14,2.66666666666667,10.6666666666667,5.33333333333333,20.6666666666667,0,-2,"H",8
